iteration,candidate_total_value,candidate_total_weight
304,1270,2167
305,1965,2376
306,1911,2231
307,2100,2171
308,2806,2015
309,3649,2239
310,3070,1825
311,3070,1825
312,3223,2021
313,2280,2196
314,2280,2196
315,2280,2196
316,2965,2487
317,1003,1748
318,1003,1748
319,1934,1800
320,1918,1606
321,2670,1901
322,3557,2262
323,2780,2004
324,2780,2004
325,3348,2364
326,3917,2394
327,4715,2481
328,3341,1828
329,5381,2526
330,3215,2399
331,3031,1953
332,2525,2059
333,2291,2092
334,2291,2092
335,2258,2255
336,2453,2260
337,1690,1895
338,410,1955
339,215,1950
340,1048,2456
341,1491,2449
342,1295,1606
343,1824,2401
344,1985,1856
345,2404,2001
346,1985,1856
347,2365,2081
348,1295,1606
349,2067,2251
350,2067,2251
351,1343,1914
352,1918,2344
353,1918,2344
354,1281,1693
355,2005,1722
356,1476,1635
357,1821,2160
358,2078,2047
359,2916,2324
360,2192,2295
361,2312,1721
362,2692,1946
363,3451,2183
364,3313,2452
365,2537,2137
366,2684,2408
367,2773,2486
368,2232,2238
369,2232,2238
370,2083,1923
371,2225,2477
372,1853,2165
373,1853,2165
374,1933,2311
375,2035,2479
376,2436,1925
377,3294,2303
378,2569,1989
379,1857,2401
380,3251,2250
381,4107,2321
382,2422,1718
383,4031,2434
384,3175,2363
385,3292,2461
386,3145,2190
387,3145,2190
388,2642,2361
389,1669,2140
390,1403,2188
391,1483,2334
392,2052,2441
393,1536,1771
394,2052,2441
395,2052,2441
396,2124,2336
397,1357,1915
398,1663,2429
399,1663,2429
400,1085,1633
401,2409,1998
402,2756,2344
403,3314,2503
404,2409,1998
405,3241,2275
406,3540,2426
407,3540,2426
408,2828,2528
409,2061,2151
410,2169,2150
411,2217,2458
412,2045,1969
413,2045,1969
414,2166,2112
415,2844,2250
416,2637,1770
417,2320,1642
418,2672,2488
419,2120,2390
420,1904,2072
421,2544,2022
422,2120,1889
423,1802,2082
424,3017,2158
425,3433,2406
426,2029,2331
427,2335,1927
428,2084,1392
429,2418,2107
430,2650,2242
431,3033,2514
432,2308,2033
433,3552,2189
434,3737,2310
435,4446,2332
436,4239,2447
437,4239,2447
438,4239,2447
439,3149,2407
440,3582,2424
441,3582,2424
442,2439,2139
443,3460,2173
444,3114,2495
445,3114,2495
446,3045,2457
447,3253,2090
448,2782,2432
449,2520,1939
450,2809,2425
451,3178,2222
452,2065,2123
453,3515,2435
454,2778,2301
455,3259,2013
456,3638,2444
457,2816,2257
458,2870,2322
459,2857,1842
460,2758,2150
461,2262,2168
462,2443,2415
463,2467,2315
464,2899,2503
465,3605,2256
466,3172,1760
467,3389,2323
468,3145,2523
469,3145,2523
470,2721,2512
471,2482,2093
472,2865,2365
473,2214,2313
474,3169,2297
475,2786,2025
476,3532,2188
477,4486,2214
478,3114,2325
479,4409,2240
480,3242,2174
481,2795,1797
482,4409,2240
483,4080,2440
484,1825,2346
485,4409,2240
486,3783,2336
487,1067,1845
488,3037,2173
489,1682,1692
490,3197,2229
491,3255,2442
492,3025,2065
493,2806,2213
494,3665,2287
495,3477,1899
496,2204,2010
497,3477,1899
498,3538,2386
499,3748,2458
500,3241,2248
501,3642,2444
502,4442,2534
503,3671,2083
504,3012,2100
505,3270,1887
506,3727,1930
507,4586,1940
508,4072,2187
509,5219,2239
510,5828,2339
511,5828,2339
512,5723,2458
513,5460,2437
514,3264,2012
515,4333,2399
516,5818,2095
517,5946,2110
518,6698,2405
519,6546,2333
520,6992,2359
521,5689,2416
522,5968,2390
523,6808,2457
524,6808,2457
525,7312,2423
526,7312,2423
527,6634,2292
528,6265,2284
529,6888,2389
530,5704,2468
531,6469,2244
532,6225,2539
533,5607,2447
534,6438,2371
535,6517,2459
536,5364,2480
537,4694,2506
538,3814,2459
539,3681,2157
540,6071,2433
541,5069,2013
542,4245,2359
543,5743,1827
544,6326,2086
545,5169,2445
546,6706,2311
547,4118,2305
548,7137,2533
549,6680,2502
550,6900,2137
551,7208,2472
552,4819,2241
553,5991,2512
554,5552,2370
555,4272,2384
556,6316,2530
557,8139,2524
558,6491,2514
559,8060,2436
560,8060,2436
561,4899,2493
562,8186,2452
563,8852,2497
564,9028,2383
565,8305,2493
566,8536,2529
567,6436,2284
568,8333,2495
569,7128,2467
570,8079,2486
571,5428,2417
572,5435,2425
573,7648,1886
574,8003,2475
575,7113,2194
576,2707,2509
577,7678,2337
578,8247,2444
579,7431,2469
580,7316,2392
581,8123,2221
582,8355,2356
583,6631,2532
584,7749,2519
585,5713,2499
586,5878,2519
587,7871,2285
588,6331,1722
589,6917,2259
590,7871,2285
591,6283,2319
592,7604,2479
593,6152,2448
594,6954,1938
595,6861,2358
596,7880,2425
597,6151,2537
598,7947,2371
599,5636,1702
600,8200,2404
601,6044,2326
602,8142,2369
603,8933,2378
604,6293,2266
605,8613,2480
606,6426,2337
607,6421,2346
608,4459,2501
609,4858,2220
610,5305,2356
611,7364,2398
612,6755,2298
613,3590,1780
614,7545,2446
615,4235,1809
616,7053,2445
617,6175,2152
618,3817,2522
619,5846,2386
620,5056,2329
621,7912,2519
622,5289,2466
623,7574,2422
624,2920,2394
625,4617,2496
626,7579,2499
627,5845,2514
628,6477,1732
629,5550,2435
630,3163,1898
631,5868,2134
632,7579,2499
633,5923,2513
634,6440,1810
635,4274,2470
636,3683,2406
637,6134,1854
638,7579,2499
639,5282,1795
640,4964,2395
641,3704,2402
642,7561,2451
643,4680,2424
644,4169,1823
645,5963,2428
646,5821,2025
647,5198,2435
648,7502,2427
649,4781,2074
650,6624,2134
651,5846,1994
652,6893,2327
653,6624,2134
654,5456,2303
655,6816,2251
656,5494,2524
657,7508,2447
658,7499,2307
659,7413,2047
660,7936,2338
661,8027,2447
662,6196,2493
663,4982,2531
664,8222,2452
665,7279,2400
666,7969,2419
667,6178,2499
668,6103,2506
669,7266,2292
670,8222,2452
671,7761,2262
672,6688,2168
673,8027,2447
674,8104,2475
675,6363,2180
676,7851,2442
677,7251,2366
678,7345,2145
679,6909,2452
680,8119,2262
681,6646,2038
682,8119,2262
683,8535,2510
684,5795,2512
685,6505,2374
686,7834,2081
687,7323,2436
688,7059,2503
689,6226,2236
690,6571,2541
691,7598,2484
692,5647,2512
693,5339,2496
694,6697,2244
695,7150,2086
696,7827,2419
697,7407,2195
698,8535,2510
699,8334,2332
700,7412,2293
701,8903,2439
702,8903,2439
703,6441,1767
704,8049,2432
705,7111,2524
706,8090,2455
707,7682,2338
708,7146,2352
709,8994,2437
710,6985,2444
711,7393,2341
712,6848,2517
713,8994,2437
714,9219,2523
715,7527,2482
716,8803,2275
717,7190,2353
718,5043,1735
719,6958,2440
720,8319,2485
721,8799,2432
722,8768,2490
723,6299,2195
724,7621,2355
725,8342,2289
726,6705,2473
727,9219,2523
728,7503,2481
729,9259,2490
730,5934,2511
731,7108,2486
732,8696,2420
733,8385,2200
734,9294,2474
735,8241,2497
736,6723,2515
737,6905,2336
738,8233,2274
739,8878,2226
740,10183,2502
741,8781,2516
742,9128,2373
743,6760,2388
744,8412,2295
745,5605,2483
746,8047,2423
747,6568,2340
748,10010,2206
749,5303,2237
750,7413,2235
751,8176,2519
752,9938,2423
753,6640,2486
754,8896,2444
755,8235,2385
756,9667,2417
757,9240,2450
758,7620,2374
759,8390,2312
760,8408,2476
761,10183,2502
762,7189,2448
763,6948,2473
764,9598,2373
765,7916,2395
766,8621,2409
767,6589,2308
768,4609,2261
769,9229,2476
770,11042,2512
771,11477,2531
772,11054,2340
773,6865,2473
774,11004,2369
775,11194,2506
776,10725,2469
777,10607,2164
778,6336,1964
779,6241,2347
780,9961,2542
781,8298,2494
782,10556,2330
783,8070,2528
784,10891,2454
785,11282,2526
786,9436,2375
787,8694,2477
788,8423,2489
789,8175,2124
790,11449,2537
791,10042,2503
792,11030,2392
793,8099,2380
794,8513,2353
795,10326,2396
796,9803,2105
797,9589,2513
798,6288,2496
799,8107,2145
800,6912,2403
801,9152,1777
802,9762,2281
803,10326,2396
804,7998,1733
805,7185,1905
806,10335,2536
807,5511,2332
808,10669,2488
809,5016,2470
810,9743,2381
811,8964,2433
812,10222,2372
813,6925,2496
814,7478,2481
815,9519,2439
816,5411,2162
817,10669,2488
818,10416,2455
819,9780,2460
820,8011,2453
821,6924,2318
822,8939,2286
823,8061,2486
824,10951,2496
825,10925,2279
826,10940,2425
827,9188,2543
828,11522,2452
829,9487,2499
830,10210,2448
831,9272,2270
832,7308,2353
833,10857,2476
834,8486,2461
835,10061,2528
836,9081,1682
837,10180,2446
838,10047,2411
839,9017,2543
840,7236,2451
841,9398,2163
842,11608,2261
843,9108,2421
844,12065,2304
845,12254,2501
846,10909,2352
847,10177,2253
848,11883,2433
849,10877,2541
850,7385,2306
851,9104,2006
852,10054,2300
853,11759,2480
854,8483,2274
855,11205,2371
856,11764,2389
857,10352,2066
858,9427,2151
859,7596,2504
860,9951,2272
861,10331,2343
862,11039,2528
863,10618,1949
864,11017,2492
865,5533,2492
866,11972,2493
867,12185,2512
868,10160,2429
869,10017,2330
870,11621,2246
871,7648,2417
872,11145,2459
873,10538,2465
874,8855,2525
875,8153,2259
876,11488,2307
877,9336,2128
878,10334,2416
879,8583,2210
880,11423,2533
881,11348,2495
882,6963,1970
883,10722,2530
884,9281,2061
885,11326,2438
886,7605,2120
887,9273,2363
888,12185,2512
889,11206,2385
890,9943,2373
891,10072,2534
892,9425,2197
893,9308,2331
894,6771,2486
895,11910,2494
896,11525,2407
897,10111,2134
898,5902,2517
899,10149,2523
900,8039,2431
901,12185,2512
902,9948,2155
903,7132,2497
904,11232,2407
905,12062,2455
906,10687,2384
907,7271,2184
908,12185,2512
909,12631,2538
910,10816,2403
911,9592,2527
912,9902,2357
913,11082,2531
914,7075,2494
915,10308,2486
916,11050,2244
917,10799,2219
918,10416,2232
919,12631,2538
920,8408,2509
921,8302,2105
922,8169,2358
923,8144,2405
924,9506,2523
925,7513,1570
926,8443,2229
927,8622,2244
928,8257,2319
929,12312,2392
930,10042,2529
931,10258,2353
932,10331,2285
933,11018,2520
934,12185,2512
935,10156,2395
936,9343,2507
937,11500,2212
938,11971,2433
939,10890,2408
940,10891,2465
941,12430,2514
942,11375,2468
943,11165,2482
944,6500,1737
945,11273,2502
946,9716,2528
947,12533,2519
948,10994,2526
949,8603,2526
950,8246,2304
951,11677,2512
952,10894,2235
953,9897,2055
954,12631,2538
955,12295,2289
956,8691,2423
957,11395,2504
958,12661,2342
959,11875,2541
960,12661,2342
961,10542,2320
962,12661,2342
963,10418,2327
964,8219,2474
965,12661,2342
966,10588,2396
967,10239,2142
968,7679,2420
969,11143,2336
970,8669,2338
971,8542,2537
972,10543,2538
973,12890,2519
974,10695,2472
975,12307,2260
976,7799,2494
977,10246,2039
978,11037,2332
979,11936,2493
980,12890,2519
981,11630,2337
982,12890,2519
983,10985,2253
984,12470,2503
985,11857,2513
986,10678,2038
987,11055,1998
988,11835,2357
989,11681,2267
990,11936,2493
991,6299,2537
992,11284,2422
993,11398,2404
994,10037,2416
995,12505,2252
996,12230,2414
997,9119,2401
998,7628,2315
999,11030,2510
1000,12131,2519
1001,12104,2543
1002,8076,2475
1003,11960,2163
1004,12890,2519
1005,11233,2526
1006,12421,2512
1007,10001,2441
1008,11850,2490
1009,11754,2444
1010,10835,2360
1011,10519,2315
1012,9426,2267
1013,11873,2332
1014,10577,2273
1015,7379,1698
1016,11996,2459
1017,11327,2378
1018,10853,2524
1019,10707,2526
1020,12324,2335
1021,9796,2418
1022,10717,2456
1023,4839,2346
1024,9371,2289
1025,9609,2141
1026,11198,2149
1027,11788,2215
1028,10933,2364
1029,12657,2458
1030,10323,2143
1031,10765,2499
1032,12153,2537
1033,9506,2286
1034,9115,2442
1035,10192,2145
1036,11443,2341
1037,10631,2393
1038,10952,2511
1039,9096,1934
1040,12529,2276
1041,12149,2426
1042,11392,2510
1043,12289,2386
1044,9048,2423
1045,10507,2509
1046,9357,2271
1047,12143,2475
1048,13660,2529
1049,13917,2538
1050,10192,2328
1051,11701,2362
1052,12617,2538
1053,13057,2368
1054,10218,2397
1055,12925,2240
1056,13471,2512
1057,12604,2396
1058,12257,2128
1059,9315,2490
1060,9394,2498
1061,11269,2203
1062,12531,2268
1063,9746,2478
1064,8547,2530
1065,10512,2522
1066,10751,2322
1067,10806,2337
1068,13693,2192
1069,12017,2143
1070,13648,2333
1071,12228,2334
1072,11436,2511
1073,13917,2538
1074,13597,2540
1075,10602,2248
1076,13242,2411
1077,9389,2481
1078,13917,2538
1079,12058,2499
1080,8248,2164
1081,9505,2240
1082,12464,2354
1083,12910,2165
1084,9710,2360
1085,8133,2115
1086,13028,2510
1087,12963,2512
1088,11716,2252
1089,11382,2542
1090,13917,2538
1091,12774,2435
1092,13275,2248
1093,10009,2406
1094,12857,2316
1095,12446,2402
1096,12925,2240
1097,12520,2489
1098,12035,2274
1099,11887,2492
1100,13917,2538
1101,12288,2268
1102,13429,2497
1103,10121,2532
1104,12539,2369
1105,4852,2282
1106,13917,2538
1107,12349,2336
1108,13229,2389
1109,13917,2538
1110,11202,2476
1111,13350,2539
1112,13921,2352
1113,13645,2451
1114,10196,1730
1115,11230,2198
1116,13216,2353
1117,11948,2442
1118,12241,2518
1119,13924,2308
1120,11971,2506
1121,13941,2495
1122,9325,2272
1123,11171,2393
1124,13076,2308
1125,11723,2438
1126,7839,2538
1127,13269,2320
1128,13037,2359
1129,10715,1935
1130,12949,2197
1131,7470,2234
1132,11488,2455
1133,8282,2466
1134,8753,2398
1135,13065,2398
1136,12479,2457
1137,13200,2313
1138,13296,2543
1139,11194,2390
1140,13035,2280
1141,12593,2398
1142,14118,2225
1143,13215,2343
1144,14660,2269
1145,10558,2421
1146,14381,2516
1147,13532,2503
1148,13129,2524
1149,14665,2346
1150,12066,2529
1151,12127,2120
1152,14767,2362
1153,13178,2262
1154,13038,2467
1155,9931,2173
1156,11453,2479
1157,13635,2122
1158,14864,2457
1159,9216,2398
1160,10010,2280
1161,11757,2003
1162,14759,2539
1163,8509,2296
1164,13616,2528
1165,12889,2467
1166,14026,2180
1167,14016,2407
1168,12020,2535
1169,13258,2492
1170,14864,2457
1171,12128,2514
1172,8961,2292
1173,15720,2528
1174,13914,2387
1175,11627,2388
1176,12779,2501
1177,9129,2429
1178,12313,2488
1179,12115,1958
1180,11557,2531
1181,13562,2274
1182,13840,2434
1183,15720,2528
1184,14362,2515
1185,14744,2081
1186,15321,2503
1187,9531,2492
1188,14547,2529
1189,12156,2391
1190,9325,2518
1191,12998,2463
1192,14834,2397
1193,13667,2524
1194,13548,2311
1195,14342,2516
1196,15706,2527
1197,15998,2531
1198,12155,2453
1199,11261,2507
1200,11895,2530
1201,14101,2453
1202,13540,2533
1203,11361,2329
1204,15228,2521
1205,14089,2184
1206,15998,2531
1207,15998,2531
1208,14007,2527
1209,13401,2499
1210,11562,2541
1211,15272,2466
1212,14900,2524
1213,8925,2389
1214,11714,2325
1215,13166,2182
1216,13449,2310
1217,14752,2501
1218,12119,2261
1219,15998,2531
1220,15998,2531
1221,10769,2338
1222,13510,2479
1223,12335,2121
1224,12838,2528
1225,11489,2506
1226,15338,2426
1227,11852,2488
1228,14896,2385
1229,15053,2135
1230,12886,2513
1231,15998,2531
1232,11056,2458
1233,13853,2372
1234,12917,2366
1235,11703,2379
1236,15901,2436
1237,12555,2460
1238,8518,2508
1239,14060,2506
1240,12776,2376
1241,14777,2444
1242,13282,2266
1243,11302,2401
1244,14878,2344
1245,9081,2488
1246,13955,2481
1247,7367,2535
1248,15981,2467
1249,10114,2447
1250,14092,2253
1251,15993,2454
1252,11881,2471
1253,13336,2506
1254,13897,2527
1255,12192,2486
1256,13152,2356
1257,15993,2454
1258,15085,2357
1259,15039,2428
1260,15155,2177
1261,14469,2518
1262,13262,2367
1263,14312,1953
1264,12889,2097
1265,9174,2477
1266,16763,2475
1267,16763,2475
1268,13151,2289
1269,15904,2513
1270,16063,2403
1271,11022,2342
1272,15819,2449
1273,17064,2527
1274,11388,2494
1275,13282,1857
1276,15564,2370
1277,12654,2524
1278,14353,2360
1279,14781,2426
1280,17218,2502
1281,15968,2518
1282,9290,2340
1283,15380,2502
1284,16813,2514
1285,15379,2276
1286,12824,2387
1287,15329,2378
1288,15202,2539
1289,13800,2400
1290,15104,2349
1291,16965,2469
1292,11916,2134
1293,16296,2484
1294,13042,2508
1295,12311,2422
1296,17218,2502
1297,12211,2542
1298,16753,2480
1299,13616,2258
1300,16242,2543
1301,15171,2453
1302,13519,2493
1303,16494,2473
1304,12110,2496
1305,11650,2454
1306,14889,2317
1307,16287,2432
1308,12451,2536
1309,13508,2381
1310,15935,2334
1311,13363,2483
1312,16234,2475
1313,16380,2225
1314,15929,2290
1315,11509,2533
1316,11954,2295
1317,14866,2361
1318,13157,2543
1319,13912,2384
1320,16486,2479
1321,13701,2442
1322,16669,2265
1323,14562,2254
1324,14131,2461
1325,12214,2013
1326,14651,2356
1327,14501,2409
1328,15681,2465
1329,12755,2541
1330,15398,2335
1331,14831,2390
1332,15385,2308
1333,18129,2521
1334,13672,2300
1335,15205,2333
1336,17359,2511
1337,14478,2504
1338,12338,2469
1339,14604,2208
1340,11583,2369
1341,16497,2478
1342,15594,2478
1343,16830,2496
1344,9331,2537
1345,9416,2535
1346,16611,2430
1347,15863,2503
1348,11864,2457
1349,15762,2368
1350,17151,2177
1351,17240,2493
1352,15630,2386
1353,12568,1691
1354,13465,2480
1355,14808,2329
1356,15935,2497
1357,18129,2521
1358,10426,2248
1359,14754,2517
1360,16819,2375
1361,13924,2367
1362,14762,2490
1363,14335,2169
1364,13791,1745
1365,17131,2340
1366,17240,2493
1367,16361,2506
1368,14928,2494
1369,16825,2347
1370,14296,2211
1371,13089,2483
1372,17218,2502
1373,17270,2447
1374,17359,2500
1375,15290,2506
1376,16934,2502
1377,13936,2431
1378,15258,2446
1379,17985,2522
1380,14565,2521
1381,18032,2426
1382,17336,2537
1383,18257,2536
1384,9919,2396
1385,17531,2309
1386,16425,2505
1387,16155,2538
1388,13327,2488
1389,11821,2320
1390,16556,2297
1391,15187,2478
1392,12566,2512
1393,14875,2015
1394,15561,2526
1395,12726,2528
1396,14389,2484
1397,11173,1702
1398,13132,2534
1399,13645,2517
1400,13092,2273
1401,14211,2526
1402,12577,1967
1403,18312,2473
1404,15528,2533
1405,15926,2380
1406,18210,2457
1407,18210,2457
1408,16231,2342
1409,18376,2400
1410,16339,2395
1411,17530,2532
1412,12088,2457
1413,14281,2539
1414,17487,2372
1415,17561,2531
1416,18216,2379
1417,15881,2461
1418,19176,2490
1419,19176,2490
1420,17626,2242
1421,18862,2510
1422,13748,2268
1423,16213,2428
1424,18320,2419
1425,18634,2446
1426,12457,2496
1427,16981,2522
1428,18072,2456
1429,16382,2437
1430,15286,2479
1431,12279,2533
1432,16389,2124
1433,16344,2450
1434,16325,2473
1435,12959,2399
1436,15380,2117
1437,13554,2516
1438,15363,1884
1439,18737,2450
1440,15791,2148
1441,12171,2139
1442,17171,2490
1443,14469,2480
1444,17469,2249
1445,12125,2474
1446,14444,2517
1447,14490,2371
1448,17542,2205
1449,16398,1917
1450,18690,2311
1451,13527,2386
1452,19817,2536
1453,11108,2119
1454,18095,2326
1455,18194,2327
1456,14306,1986
1457,18906,2517
1458,17543,2476
1459,14941,2531
1460,13372,2531
1461,17913,2539
1462,19132,2533
1463,11773,2498
1464,15678,2109
1465,17277,2502
1466,14337,1828
1467,14914,2303
1468,15751,2490
1469,18817,2495
1470,18523,2352
1471,11515,2387
1472,18825,2414
1473,15479,2483
1474,14328,2520
1475,16776,2534
1476,16728,2125
1477,12044,2537
1478,10579,2377
1479,16999,2512
1480,18312,2458
1481,17781,2453
1482,10296,2267
1483,16689,2389
1484,14849,2359
1485,17423,2385
1486,13920,2391
1487,19929,2451
1488,10763,2169
1489,16966,2524
1490,20498,2481
1491,16135,1983
1492,19728,2471
1493,18295,2382
1494,16991,2019
1495,15296,2470
1496,13334,1776
1497,16546,2408
1498,16137,2270
1499,20370,2466
1500,19602,2180
1501,18594,2330
1502,19461,2470
1503,20612,2268
1504,15350,2222
1505,17349,2337
1506,20759,2539
1507,18229,2454
1508,14448,2098
1509,15520,2469
1510,19592,2415
1511,12131,2527
1512,19900,2529
1513,15852,2496
1514,19761,2358
1515,16524,2293
1516,19388,2426
1517,16345,1947
1518,15712,2491
1519,17500,2442
1520,19513,2425
1521,20759,2539
1522,16302,2528
1523,16292,2515
1524,17064,2505
1525,20759,2539
1526,19916,2509
1527,14420,2445
1528,14159,2328
1529,18925,2465
1530,16411,2534
1531,16863,2123
1532,17531,2537
1533,19592,2523
1534,20693,2392
1535,16791,2176
1536,17100,2478
1537,18199,2522
1538,18913,2538
1539,17891,2533
1540,13762,2042
1541,18939,2308
1542,10328,2530
1543,17901,2522
1544,17996,2320
1545,13494,1999
1546,15434,2430
1547,15124,2373
1548,15533,2529
1549,15090,2458
1550,18343,2494
1551,14614,2466
1552,18602,2474
1553,9859,2509
1554,18819,2288
1555,16377,2520
1556,18065,2467
1557,16748,2537
1558,17819,2516
1559,19805,2513
1560,18736,2443
1561,17386,2488
1562,18552,2533
1563,16261,1877
1564,17799,2538
1565,18290,2193
1566,11409,2423
1567,13973,2541
1568,19576,2449
1569,17325,2529
1570,16759,2475
1571,17835,2526
1572,16883,2541
1573,11397,2443
1574,17044,2256
1575,15236,2095
1576,18924,2519
1577,18275,2528
1578,20161,2445
1579,14133,2536
1580,11224,2509
1581,13818,2287
1582,19903,2468
1583,20686,2422
1584,15616,2057
1585,10724,2380
1586,15022,2254
1587,20217,2495
1588,16811,2417
1589,16079,2504
1590,19870,2511
1591,14628,2536
1592,17227,2531
1593,20118,2271
1594,16138,2263
1595,20759,2539
1596,14661,2454
1597,17024,2269
1598,13630,1884
1599,11363,2536
1600,15743,2511
1601,17296,2491
1602,15936,2533
1603,14093,2480
1604,15237,2496
1605,12601,1937
1606,19428,2360
1607,13572,2182
1608,19828,2469
1609,18681,2146
1610,17182,2482
1611,17013,2106
1612,19959,2449
1613,18177,2492
1614,19783,2092
1615,19470,2517
1616,20118,2493
1617,14534,2538
1618,17019,1934
1619,16162,2496
1620,18283,2493
1621,15116,2267
1622,17622,2491
1623,19865,2257
1624,12977,2497
1625,11579,2543
1626,16745,1988
1627,16592,2513
1628,16948,2283
1629,18177,2254
1630,15843,2456
1631,17207,2185
1632,20057,2541
1633,17455,2270
1634,17909,2367
1635,11887,2155
1636,14537,2541
1637,17740,2501
1638,15665,2404
1639,15237,2415
1640,15049,2466
1641,17321,2520
1642,19816,2487
1643,17245,2294
1644,19941,2543
1645,19900,2465
1646,17701,2346
1647,15071,2494
1648,20371,2440
1649,17950,2494
1650,17328,2493
1651,16207,2506
1652,19848,2520
1653,15846,2482
1654,15640,2323
1655,15155,1966
1656,16748,2390
1657,17044,2434
1658,19049,2487
1659,18867,2494
1660,15897,2519
1661,21279,2390
1662,21279,2390
